City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
398,Cedartown,US,60.55,clear sky,34.0537,-85.255,Quality Inn
399,Phek,IN,67.8,clear sky,25.6667,94.5,Prayer Centre
400,Wuxi,CN,67.95,few clouds,31.5689,120.2886,Wuxi Jinjiang Grand Hotel
402,Mwinilunga,ZM,60.46,broken clouds,-11.7358,24.4293,Kwakuwahi Lodge
404,Lithgow,AU,61.48,light rain,-33.4833,150.15,Zig Zag Motel Lithgow
408,Sesheke,ZM,65.77,scattered clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
415,Tongling,CN,62.35,overcast clouds,30.95,117.7833,Huoxian Hotel
416,Virginia Beach,US,60.01,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
419,Khash,IR,69.51,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
420,Batemans Bay,AU,70.11,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
422,Senanga,ZM,65.21,scattered clouds,-16.1167,23.2667,Zango lodge
423,Guerrero Negro,MX,61.61,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
429,Aksu,CN,60.51,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
430,La Macarena,CO,72.84,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
438,Ambovombe,MG,66.29,light rain,-25.1667,46.0833,RELAHARA
450,Formosa Do Rio Preto,BR,74.55,broken clouds,-11.0483,-45.1931,Porto Center Hotel
452,Caravelas,BR,74.14,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
453,Benghazi,LY,69.03,clear sky,32.1167,20.0667,Tibesti Hotel
462,Zhoucheng,CN,61.0,overcast clouds,35.9122,116.3117,Yingbin Restaurant
467,Kushima,JP,74.79,overcast clouds,31.4583,131.2333,Hanaoka
480,Lardos,GR,64.94,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
486,Nuevitas,CU,74.93,broken clouds,21.5453,-77.2644,Hotel Caonaba
490,Hit,IQ,72.72,clear sky,33.6416,42.8251,بيت ابو رباح
492,Tshikapa,CD,67.03,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
497,Namie,JP,63.55,overcast clouds,37.4833,141.0,いこいの村なみえ
504,Half Moon Bay,US,60.58,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
506,Lucapa,AO,64.09,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
513,Topeka,US,71.38,overcast clouds,39.0483,-95.678,Hotel Topeka At City Center
515,Damietta,EG,64.29,clear sky,31.4165,31.8133,SULIMAN INN
522,Grand Baie,MU,73.45,moderate rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
524,Karaton,ID,73.49,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
531,Areka,ET,60.91,overcast clouds,7.0667,37.7,Selam Hotel ሰላም ሆቴል
532,Sarahan,IN,63.73,clear sky,31.5167,77.8,OYO 39328 Bushahr Heights
541,Marsh Harbour,BS,73.92,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
544,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hotel San Juan
545,Les Cayes,HT,73.33,scattered clouds,18.2,-73.75,Villa Orphee
550,Broken Hill,AU,67.71,broken clouds,-31.95,141.4333,Royal Exchange Hotel
553,Mucurici,BR,68.68,clear sky,-18.0933,-40.5158,Resort of Mucurici
558,Formiga,BR,63.79,clear sky,-20.4644,-45.4264,Victor Plaza Hotel
559,Kamina,CD,61.95,few clouds,-8.7386,24.9906,Guest House Florvia
564,Pisco,PE,66.25,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
572,Matay,EG,66.83,clear sky,28.419,30.7792,Nag Aespen
586,Kalabo,ZM,62.56,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
606,Sydney,AU,73.31,light rain,-33.8679,151.2073,The Grace Sydney
613,Bardiyah,LY,63.72,few clouds,31.7561,25.0865,بورتو بردية
615,Ardakan,IR,67.33,broken clouds,32.31,54.0175,Ardakan Hotel
617,La Union,PE,71.69,overcast clouds,-5.4,-80.75,Los Portales
620,Ascension,US,68.02,clear sky,30.2169,-90.9001,Highland Inn
621,Morondava,MG,72.97,clear sky,-20.2833,44.2833,La Case Bambou
622,Bolobo,CD,71.49,overcast clouds,-2.1667,16.2333,Hotel de Stephen
626,Mabaruma,GY,73.99,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
627,Kirkwood,US,67.59,overcast clouds,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
631,Yenagoa,NG,72.54,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
633,Samfya,ZM,63.28,overcast clouds,-11.3649,29.5565,Chita Lodge Samfya
635,Komsomolskiy,UZ,61.52,broken clouds,40.4272,71.7189,Ikathouse
636,Riyadh,SA,73.54,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
643,Hualmay,PE,66.36,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
645,Mount Gambier,AU,71.51,broken clouds,-37.8333,140.7667,The Commodore
646,Samana,DO,70.95,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
649,Rincon,US,64.36,clear sky,32.296,-81.2354,Days Inn Rincon
665,Lima,PE,67.89,overcast clouds,-12.0432,-77.0282,Hotel Kamana
671,Urucui,BR,74.82,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
676,Mancio Lima,BR,73.33,broken clouds,-7.6142,-72.8958,Motel Asas Do Desejo
678,Coahuayana,MX,74.12,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
683,Kundiawa,PG,74.08,overcast clouds,-6.0167,144.9667,Pari
686,Armeria,MX,74.32,clear sky,18.9333,-103.9667,Hotel la Herradura
688,Guigue,VE,73.24,overcast clouds,10.0853,-67.7792,La vasquereña
694,Caetes,BR,65.52,overcast clouds,-8.7731,-36.6225,Chácara Hilston
