City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kinston,US,2022-04-25 19:58:26,35.2627,-77.5816,86.11,34,5,9.26
68,Zhigansk,RU,2022-04-25 19:58:27,66.7697,123.3711,1.96,98,94,2.95
69,Bengkulu,ID,2022-04-25 19:58:27,-3.8004,102.2655,76.21,88,100,7.58
70,Kapaa,US,2022-04-25 19:58:28,22.0752,-159.319,78.78,76,39,5.99
71,Tautira,PF,2022-04-25 19:58:28,-17.7333,-149.15,80.64,75,12,10.6
72,Mar Del Plata,AR,2022-04-25 19:56:41,-38.0023,-57.5575,64.42,70,0,10.36
73,Gorgan,IR,2022-04-25 19:58:29,36.8387,54.4348,55.36,88,100,0.0
74,Saint George,US,2022-04-25 19:53:32,37.1041,-113.5841,75.43,12,0,4.0
75,Esperance,AU,2022-04-25 19:58:29,-33.8667,121.9,69.64,41,100,25.75
76,Nikolskoye,RU,2022-04-25 19:58:30,59.7035,30.7861,41.72,97,100,4.9
77,Buala,SB,2022-04-25 19:58:30,-8.145,159.5921,80.67,82,87,4.23
78,Barrow,US,2022-04-25 19:58:31,71.2906,-156.7887,12.6,88,99,8.41
79,Roma,US,2022-04-25 19:58:31,43.2128,-75.4557,76.08,34,100,5.01
80,Yellowknife,CA,2022-04-25 19:57:48,62.456,-114.3525,39.72,52,75,12.66
81,Leningradskiy,RU,2022-04-25 19:58:32,69.3833,178.4167,11.17,94,64,8.1
82,Tasiilaq,GL,2022-04-25 19:58:33,65.6145,-37.6368,31.57,96,100,8.46
83,Farah,AF,2022-04-25 19:58:33,32.5,62.5,75.56,14,100,4.45
84,Sao Mateus,BR,2022-04-25 19:58:34,-18.7161,-39.8589,77.36,78,9,7.38
85,Vanino,RU,2022-04-25 19:58:34,49.0869,140.2543,29.93,85,100,1.74
86,Egvekinot,RU,2022-04-25 19:58:35,66.3167,-179.1667,16.34,84,84,8.77
87,Saint-Francois,FR,2022-04-25 19:58:35,46.4154,3.9054,51.24,87,100,3.44
88,Nanortalik,GL,2022-04-25 19:58:35,60.1432,-45.2371,35.28,90,98,8.57
89,Sinop,TR,2022-04-25 19:58:36,41.7711,34.8709,57.85,67,52,3.74
90,Port-Cartier,CA,2022-04-25 19:58:36,50.0334,-66.8654,40.75,99,100,7.34
91,Mahebourg,MU,2022-04-25 19:58:37,-20.4081,57.7,75.49,78,40,11.5
92,Tazovskiy,RU,2022-04-25 19:57:15,67.4667,78.7,2.32,97,87,7.31
93,Tuktoyaktuk,CA,2022-04-25 19:59:38,69.4541,-133.0374,17.6,79,20,5.75
94,Uthal,PK,2022-04-25 19:59:38,25.8072,66.6219,82.98,65,2,6.11
95,Okhotsk,RU,2022-04-25 19:59:39,59.3833,143.3,22.23,78,46,12.33
96,Concepcion Del Oro,MX,2022-04-25 19:59:39,24.6333,-101.4167,80.89,18,40,3.47
97,Khatanga,RU,2022-04-25 19:59:40,71.9667,102.5,-12.37,100,100,4.41
98,Andria,IT,2022-04-25 19:59:40,41.2306,16.2909,63.25,68,25,3.69
99,Lata,PT,2022-04-25 19:59:40,40.1629,-8.3327,58.82,82,59,1.52
100,Maniitsoq,GL,2022-04-25 19:59:41,65.4167,-52.9,29.59,80,100,7.94
101,Alofi,NU,2022-04-25 19:56:33,-19.0595,-169.9187,75.09,23,100,3.44
102,Severo-Kurilsk,RU,2022-04-25 19:59:41,50.6789,156.125,32.14,85,100,19.84
103,Palmer,US,2022-04-25 19:59:42,42.1584,-72.3287,68.14,25,100,4.0
104,Arlit,NE,2022-04-25 19:59:42,18.7369,7.3853,87.98,6,0,10.69
105,Cabedelo,BR,2022-04-25 19:59:43,-6.9811,-34.8339,84.87,83,60,12.46
106,Goma,CD,2022-04-25 19:59:43,-1.6792,29.2228,63.28,91,90,3.18
107,Upernavik,GL,2022-04-25 19:59:44,72.7868,-56.1549,19.9,87,29,2.64
108,Alugan,PH,2022-04-25 19:59:44,12.2188,125.4808,81.41,85,100,13.13
109,Ponta Delgada,PT,2022-04-25 19:59:45,37.7333,-25.6667,59.72,77,20,14.97
110,Mahon,ES,2022-04-25 19:59:46,39.8885,4.2658,59.56,82,0,5.75
111,Castro,BR,2022-04-25 19:59:46,-24.7911,-50.0119,71.89,68,0,3.49
112,Tateyama,JP,2022-04-25 19:59:46,34.9833,139.8667,65.1,90,100,5.55
113,Kavieng,PG,2022-04-25 19:59:47,-2.5744,150.7967,81.09,78,92,10.78
114,Oistins,BB,2022-04-25 19:59:47,13.0667,-59.5333,75.29,100,75,14.97
115,Kristiinankaupunki,FI,2022-04-25 19:59:48,62.2743,21.376,38.75,87,96,5.73
116,Salinas,US,2022-04-25 19:59:48,36.6777,-121.6555,81.0,62,18,8.03
117,Chuy,UY,2022-04-25 19:59:49,-33.6971,-53.4616,65.52,97,100,6.24
118,Fuyang,CN,2022-04-25 19:59:49,32.9,115.8167,62.13,97,100,2.59
119,Kanniyakumari,IN,2022-04-25 19:59:50,8.0833,77.5667,82.87,81,97,8.97
120,Vila Velha,BR,2022-04-25 19:59:50,-20.3297,-40.2925,80.55,77,75,12.66
121,Yantzaza,EC,2022-04-25 19:59:51,-3.8278,-78.7594,68.74,99,100,0.47
